Date,Open,High,Low,Last,Close,Volume,Total Traded,MA50,MA200,returns,Cumulative Return
2016-10-07,554.5,567.3,552.6,565.0,565.7,9122002,5058150109.0,531.041,,0.025840964729349825,1.4075640706643464
2016-10-10,571.1,571.1,560.9,562.95,562.05,3673211,2097770802.1000001,532.08,,-0.006452183135937983,1.3984822095048537
2016-10-13,556.9,556.9,537.0,544.0,544.85,9510827,5296579556.3,532.84,,-0.030602259585446046,1.355685493903958
2016-10-14,546.0,557.45,545.0,557.0,556.1,5872827,3206563542.0,533.898,,0.020647884738918876,1.3836775317243113
2016-10-17,557.85,557.85,545.9,547.5,547.55,3463154,1931920458.9,534.684,,-0.015374932566085353,1.3624035829808425
2016-10-18,549.2,556.0,549.2,553.5,554.25,3965424,2177810860.8,535.903,,0.012236325449730634,1.3790743966160752
2016-10-19,552.05,554.9,545.05,549.9,550.5,4275157,2360100421.85,537.345,,-0.006765899864682012,1.3697437173426241
2016-10-20,553.05,554.0,546.0,547.15,546.85,2770011,1531954583.55,538.2819999999999,,-0.006630336058128905,1.3606618561831318
2016-10-21,549.0,550.0,541.5,544.85,544.5,2789747,1531571103.0,538.844,,-0.0042973393069397625,1.3548146305051025
2016-10-24,544.0,564.0,543.55,558.3,559.8,5161299,2807746656.0,539.744,,0.028099173553718826,1.3928838019407828
2016-10-25,549.85,561.0,549.1,552.3,553.8,5690576,3128963213.6,540.544,435.30625,-0.010718113612004254,1.377954715103261
2016-10-26,548.0,548.0,523.15,527.25,530.05,6665017,3652429316.0,541.076,435.94700000000006,-0.04288551823763087,1.3188604130380706
2016-10-27,515.6,525.75,510.75,525.5,522.0,18470182,9523225839.2,541.451,436.67175000000003,-0.015187246486180417,1.2988305548643957
2016-10-28,527.0,539.95,525.1,536.8,537.0,5665910,2985934570.0,541.855,437.4845,0.028735632183908066,1.3361532719582
2016-10-30,536.4,536.4,529.5,530.2,531.95,622999,334176663.59999996,542.342,438.31475,-0.009404096834264353,1.323587957203286
2016-11-01,534.4,537.9,525.05,529.45,530.6,6848662,3659924972.7999997,542.746,439.25,-0.0025378325030548377,1.3202289126648437
2016-11-02,522.6,526.0,512.35,513.8,513.3,4750117,2482411144.2000003,542.771,440.04974999999996,-0.032604598567659404,1.277183378949989
2016-11-03,509.8,521.45,505.2,509.25,510.2,6909458,3522441688.4,542.775,440.7997500000001,-0.0060393532047534615,1.2694700174172695
2016-11-04,509.25,516.35,501.6,513.5,512.3,7564243,3852090747.75,542.942,441.58625,0.004116032928263458,1.2746951978104022
2016-11-07,513.0,521.3,505.05,505.8,506.35,5507954,2825580402.0,542.9889999999999,442.295,-0.011614288502830195,1.25989052002986
2016-11-08,518.4,543.0,517.0,538.5,540.2,12739083,6603940627.2,543.826,443.2245,0.06685099239656367,1.3441154516048788
2016-11-09,501.15,544.0,500.0,534.2,533.5,10276017,5149825919.55,544.619,444.18549999999993,-0.012402813772676824,1.327444637969646
2016-11-10,536.0,549.35,531.5,532.9,533.7,6906437,3701850232.0,545.2180000000001,445.15299999999996,0.0003748828491096923,1.3279422741975635
2016-11-11,526.5,530.0,505.0,510.9,507.3,7823667,4119160675.5,544.858,445.91875,-0.04946599213041036,1.2622542921124675
2016-11-15,484.9,484.9,453.0,460.2,457.4,15356070,7446158343.0,543.4259999999999,446.4945,-0.09836388724620548,1.1380940532470778
2016-11-16,468.45,471.7,450.0,459.7,458.45,10855618,5085314252.099999,541.841,447.144,0.00229558373414962,1.1407066434436441
2016-11-17,460.0,476.0,459.65,475.4,472.85,8949767,4116892820.0,540.425,447.81075,0.03141018649798233,1.1765364518536965
2016-11-18,469.9,473.85,461.85,469.75,471.25,7246244,3405010055.6,538.8530000000001,448.50399999999996,-0.0033837369144549267,1.1725553620303573
2016-11-21,468.0,472.8,451.5,458.5,456.95,7325876,3428509968.0,536.2180000000001,449.10350000000005,-0.030344827586206935,1.1369743717342635
2016-11-22,464.05,471.0,453.3,465.5,464.85,6644867,3083550531.35,533.7669999999999,449.75674999999995,0.017288543604333073,1.1566310027370006
